Date,Word,% Monitored Articles
1/22/22,military exercise,0.1643
1/23/22,military exercise,0.126
1/24/22,military exercise,0.1903
1/25/22,military exercise,0.1865
1/26/22,military exercise,0.3651
1/27/22,military exercise,0.2224
1/28/22,military exercise,0.2505
1/29/22,military exercise,0.2341
1/30/22,military exercise,0.1895
1/31/22,military exercise,0.0939
2/1/22,military exercise,0.1969
2/2/22,military exercise,0.1559
2/3/22,military exercise,0.1307
2/4/22,military exercise,0.119
2/5/22,military exercise,0.1389
2/6/22,military exercise,0.297
2/7/22,military exercise,0.1605
2/8/22,military exercise,0.1902
2/9/22,military exercise,0.1829
2/10/22,military exercise,0.4917
2/11/22,military exercise,0.4408
2/12/22,military exercise,0.7714
2/13/22,military exercise,0.5877
2/14/22,military exercise,0.4089
2/15/22,military exercise,0.6995
2/16/22,military exercise,0.6368
2/17/22,military exercise,0.4845
2/18/22,military exercise,0.5267
2/19/22,military exercise,0.8176
2/20/22,military exercise,0.738
2/21/22,military exercise,0.6034
2/22/22,military exercise,0.1691
2/23/22,military exercise,0.0983
2/24/22,military exercise,0.1839
2/25/22,military exercise,0.1547
2/26/22,military exercise,0.0947
2/27/22,military exercise,0.1002
2/28/22,military exercise,0.0558
3/1/22,military exercise,0.0707
3/2/22,military exercise,0.0706
3/3/22,military exercise,0.0713
3/4/22,military exercise,0.0572
3/5/22,military exercise,0.0622
3/6/22,military exercise,0.0538
3/7/22,military exercise,0.0684
3/8/22,military exercise,0.0485
3/9/22,military exercise,0.0456
3/10/22,military exercise,0.0414
3/11/22,military exercise,0.0416
3/12/22,military exercise,0.0603
3/13/22,military exercise,0.1381
3/14/22,military exercise,0.1028
3/15/22,military exercise,0.0798
3/16/22,military exercise,0.06
3/17/22,military exercise,0.0438
3/18/22,military exercise,0.0709
3/19/22,military exercise,0.1104
3/20/22,military exercise,0.0516
3/21/22,military exercise,0.0627
3/22/22,military exercise,0.0372
3/23/22,military exercise,0.0411
3/24/22,military exercise,0.0591
3/25/22,military exercise,0.062
3/26/22,military exercise,0.117
3/27/22,military exercise,0.0575
3/28/22,military exercise,0.0743
3/29/22,military exercise,0.1056
3/30/22,military exercise,0.1015
3/31/22,military exercise,0.0547
4/1/22,military exercise,0.0711
4/2/22,military exercise,0.0576
4/3/22,military exercise,0.0421
4/4/22,military exercise,0.0325
4/5/22,military exercise,0.045
4/6/22,military exercise,0.0237
4/7/22,military exercise,0.0681
4/8/22,military exercise,0.038
4/9/22,military exercise,0.0509
4/10/22,military exercise,0.0436
4/11/22,military exercise,0.0344
4/12/22,military exercise,0.0356
4/13/22,military exercise,0.0389
4/14/22,military exercise,0.054
4/15/22,military exercise,0.0945
4/16/22,military exercise,0.0326
4/17/22,military exercise,0.1004
4/18/22,military exercise,0.0453
4/19/22,military exercise,0.0366
